Name,Socio_Economic_Cluster,Socio_Economic_Ranking
Acre,4,96
Afula,5,129
Arad,4,105
Arraba,2,49
Ashdod,5,118
Ashkelon,5,127
Bat Yam,5,130
Beersheba,5,136
Beit She'an,4,107
Beit Shemesh,2,25
Bnei Brak,2,17
Dimona,4,111
Eilat,6,153
El'ad,2,14
Giv'at Shmuel,8,214
Givatayim,8,234
Hadera,6,155
Haifa,7,188
Herzliya,8,232
Hod HaSharon,8,241
Holon,6,172
Jerusalem,3,61
Kafr Qasim,3,56
Karmiel,6,159
Kfar Saba,8,221
Kfar Yona,7,197
Kiryat Ata,6,154
Kiryat Bialik,7,176
Kiryat Gat,4,100
Kiryat Malakhi,3,85
Kiryat Motzkin,7,178
Kiryat Ono,8,242
Kiryat Shmona,5,131
Kiryat Yam,5,133
Lod,4,93
Ma'alot-Tarshiha,5,134
Migdal HaEmek,4,108
Modi'in-Maccabim-Re'ut,8,231
Nahariya,6,167
Nazareth,3,87
Nesher,7,196
Ness Ziona,8,225
Netanya,6,151
Netivot,3,71
Nof HaGalil,5,137
Ofakim,3,72
Or Akiva,5,119
Or Yehuda,5,143
Petah Tikva,7,189
Qalansawe,2,38
Ra'anana,8,240
Rahat,1,11
Ramat Gan,8,208
Ramat HaSharon,9,248
Ramla,4,103
Rehovot,7,182
Rishon LeZion,7,204
Rosh HaAyin,7,177
Safed,2,37
Sakhnin,3,76
Sderot,4,112
Shefa-'Amr,3,66
Tamra,2,43
Tayibe,3,53
Tel Aviv-Yafo,8,223
Tiberias,4,99
Tira,4,91
Tirat Carmel,4,117
Umm al-Fahm,2,19
Yavne,6,168
Yehud-Monosson,8,207
Yokneam Illit,7,199
