,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,District,Population_Estimate_2018,Population_Census_2008,Area_KM,Density_Per_KM,Socio_Economic_Cluster,Socio_Economic_Ranking,latitude,longitude,Categorical_value
1,Acre,32.9281731,35.0756378,Uri Buri,32.920179491719985,35.066797622715654,Seafood Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
3,Acre,32.9281731,35.0756378,Kukushka - Premium Snack Bar - קוקושקה,32.922540142144484,35.06992322128346,Tapas Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
5,Acre,32.9281731,35.0756378,Hummus Said (חומוס סעיד),32.92153501532519,35.06975518255743,Middle Eastern Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
6,Acre,32.9281731,35.0756378,Suhila Hummus (חומוס סוהילה),32.922479639809104,35.07171825669227,Mediterranean Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
7,Acre,32.9281731,35.0756378,Doniana,32.91930620047883,35.068454546575026,Asian Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
8,Acre,32.9281731,35.0756378,El Marsa,32.92010410286829,35.07004445692227,Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
12,Acre,32.9281731,35.0756378,Cafè neto,32.927997088040954,35.06920095635537,Café,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
16,Acre,32.9281731,35.0756378,Gallery Sam'an (גאלרי סמעאן),32.924856124976735,35.08114152707596,Middle Eastern Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
17,Acre,32.9281731,35.0756378,Aroma,32.90096863228154,35.092133333520145,Café,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
20,Acre,32.9281731,35.0756378,El Babor,32.9281827043232,35.069170621893434,Middle Eastern Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
24,Acre,32.9281731,35.0756378,Abu Christo,32.91928907803903,35.06875384333152,Seafood Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
26,Acre,32.9281731,35.0756378,The Pisan Harbour,32.919295,35.068274,Middle Eastern Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
35,Acre,32.9281731,35.0756378,McDonald's,32.90094736909915,35.09212186408869,Burger Joint,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
36,Acre,32.9281731,35.0756378,אלטו- מחלבה כפרית,32.951241,35.095668,Café,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
37,Acre,32.9281731,35.0756378,Shota (שותא),32.950964141633925,35.096453407205075,Caucasian Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
38,Acre,32.9281731,35.0756378,משאוושה חומוס פול,32.900882293657425,35.09220247797987,Mediterranean Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
40,Acre,32.9281731,35.0756378,Lebanese restaurantrestaurant,32.90115475259687,35.09208424424624,Middle Eastern Restaurant,North,48930.0,46100.0,13.5,3362.0,4,96,32.9281731,35.0756378,low
41,Afula,32.6075587,35.2890861,מקלות וניל,32.6035546463483,35.29616785372112,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
42,Afula,32.6075587,35.2890861,haZarfatia haKtana,32.6090753123604,35.29181968255475,Restaurant,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
43,Afula,32.6075587,35.2890861,Aroma (ארומה),32.606724852193224,35.2875007255002,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
44,Afula,32.6075587,35.2890861,Atza Sushi Bar (אצה סושי בר),32.60440578514345,35.29325780900022,Sushi Restaurant,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
45,Afula,32.6075587,35.2890861,Landwer's Café (קפה לנדוור),32.62039,35.312908,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
46,Afula,32.6075587,35.2890861,Aroma (ארומה),32.619838969114646,35.31331598499924,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
48,Afula,32.6075587,35.2890861,ארומה,32.619875,35.313316,Coffee Shop,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
49,Afula,32.6075587,35.2890861,burgus Burger Bar,32.620440975566865,35.31276165240554,Burger Joint,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
50,Afula,32.6075587,35.2890861,Cafe Cafe Afula,32.60799051042638,35.29245361491199,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
52,Afula,32.6075587,35.2890861,McDonald's Afula,32.616978725165055,35.28989086409935,Fast Food Restaurant,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
54,Afula,32.6075587,35.2890861,Greg Coffee,32.61882202289738,35.313542349661944,Café,North,51737.0,40200.0,26.9,1611.7,5,129,32.6075587,35.2890861,mid
60,Arad,31.2612199,35.214581,aroma espresso bar ארומה ערד,31.248049509745456,35.19901531049951,Café,South,26451.0,23400.0,93.1,195.9,4,105,31.2612199,35.214581,low
71,Arraba,32.8486132,35.3358268,כתיתא בבית הבד אבטליון,32.83856391906643,35.35142898559467,Breakfast Spot,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
74,Arraba,32.8486132,35.3358268,אבו סאבר החומוס הכי טעים,32.85079069260601,35.3679706806102,Middle Eastern Restaurant,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
76,Arraba,32.8486132,35.3358268,בתוך סיר חמין,32.846111,35.370523,French Restaurant,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
77,Arraba,32.8486132,35.3358268,Panda Cafe,32.86121,35.30271,Café,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
79,Arraba,32.8486132,35.3358268,La Dolce Vita Ice Cream,32.862505,35.299516,Ice Cream Shop,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
80,Ashdod,31.7977314,34.6529922,Gambrinus / Гамбринус / גמברינוס,31.78626129708574,34.64604847694873,Gastropub,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
83,Ashdod,31.7977314,34.6529922,Aroma Cafe,31.792291341597622,34.639121811419,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
84,Ashdod,31.7977314,34.6529922,Black Bar N' Burger Ashdod,31.794283884901084,34.640491911611996,Burger Joint,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
88,Ashdod,31.7977314,34.6529922,Kira (קירה),31.81421,34.645247,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
89,Ashdod,31.7977314,34.6529922,aroma Lev Ashdod,31.79702829984774,34.64809384240985,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
